author,comment,published_at
@ayuindr,Suka bgtttt dr gia dari dulu jaman di twitter. Skrg nonton di podcast ini makin suka jg karena bang radit bisa ngimbangin bahasan medisnya dr gia❤,2026-01-06T17:08:24Z
@IzzudinIbnAbdissalam,nonton sambil makan,2026-01-06T17:04:47Z
@irenetasni3365,"Dr Gia ini ud la dokter, storrytelling ny jg keren. Yak ampun ak mau jd mahasiswiny klo dosen ny bgini. Gak bosan sama skali",2026-01-06T17:02:13Z
@nadanado_1,he definitely LOVES his job!!! terima kasih dokter Gia 🫶🏻,2026-01-06T17:00:30Z
@devipermatasari6187,"Bang Radit, Adain edisi tanya2 dokter ini secara rutin dong, selai karena cerita nya seru2, byk pengetahuan baru",2026-01-06T17:00:29Z
@Dandan_aja,Dokter gia ini spesialis apa ya? Skrg suka banget dengerin cerita dr gia,2026-01-06T16:56:37Z
@griseldaagatha3496,Kalo nonton dr gia waktu ga berasa bgttt.. durasi seumur hidup boleh ga bang😂,2026-01-06T16:51:58Z
@geraldokendrick,"SUMPAHHH DOKTER GIAAA MOOD BANGET, MAKASI YAA DOKKKK. PLISS BANG RADITTT BANYAKIN SAMA DOKTERRR DONGG",2026-01-06T16:32:16Z
@dayyy______,makasii bag raditt udah ajk dokter lg😭,2026-01-06T16:29:55Z
@devipermatasari6187,"Ni Dokter sangat cocok jadi dosen, pasti jadi fav Mahasiswa nya, karena analogi dari penjelasan nya mudah bgt dimengerti",2026-01-06T16:25:19Z
@zzaaa45,Ternyata ayah gw emang termasuk orang jago dan hebat itu bisa berhenti ngerokok,2026-01-06T16:24:58Z
@auliamaoudy,terimakasih bang radit sudah undang dokter gia,2026-01-06T16:17:15Z
@예서강-m3r,tapi katanya gitu memang sii kalo pas hamil diluar nikah pas anaknya dewasa juga bakal hamil diluar nikah juga,2026-01-06T15:51:37Z
@ristykakumalafirda5621,"Gilaaa gong bangett penjelasannyaa  dokter gia, bener2 bisa masuk dalam otak gua yang cuma 1gb ini",2026-01-06T15:49:36Z
@zzaaa45,Semua rakyat indo harus banyak nonton video edukasi kayak gini!!,2026-01-06T15:48:37Z
@AhmadNazil-g7w,"Gaya bicaranya dokter kok lembut gitu yak.. 

Sopan gitu masuk ditelinga.ku tuh heheee",2026-01-06T15:48:06Z
@aansafitri8543,Biasanya selalu baca postingan dokter Gia. Sekarang dengerin langsung dokter cerita dengan excited masyaallah. Kapan2 undang lagi dokter gianya bg radit,2026-01-06T15:42:21Z
@heygamesdaily,"Minggu pertama Dr Gia, minggu kedua Dr Tirta, minggu ketiga Dr Gia lagi, minggu ke empat Dr Tirta wkwk. Lengkap sudah info-info penting nan bermanfaat untuk kita semuaaa dengan cara yang berbeda wkwk",2026-01-06T15:24:13Z
@GusMim-o1t,"Mamaku pernah kemasukan sama kecoa ditelinga kanan, klo ngira kecoanya keci salah besar . . . KECOA DEWASA beserta TELURNYAAAAA posisi lgi matlis rumah 🥲🥲🥲
Dan aku bener2 speechless kecoa sebesar itu masuuk kelubang telingaaaa",2026-01-06T15:21:06Z
@MuhammadIrfan-e1p4t,"bg besok"" undang lagi dokter gia bg
Terharu denger kisah cewek yg nge itu in leher nya bg😢",2026-01-06T15:13:01Z
@hagiashopia17,nonton ini sambil makan mie instan 😭,2026-01-06T15:11:06Z
@lilisteresna,"😅,bb,                                           🥰",2026-01-06T15:04:49Z
@suhailahmurtaza7760,LOVE BANGET DOKTER INI,2026-01-06T14:56:25Z
@RudangtaPonsel-s7l,Cerita lagi sama dr gia bang seru banget dengerinnya,2026-01-06T14:56:05Z
@slvianaara,☹️☹️☹️,2026-01-06T14:54:24Z
@nadyaamalia1486,Seneng bgtttr❤❤❤❤❤,2026-01-06T14:53:21Z
@mhm.Iqbaaall,"26:21 udh belajar berhenti merokok 1bulan, cmn ada aja godaann",2026-01-06T14:51:39Z
@cholifatuse.rahayu4866,"Pas banget ibuku baru keluar RS gara"" stroke ringan + DM",2026-01-06T14:48:50Z
@AldyzulherianZulherianaldy,"Ijin bertanya dok,
Apakah penyakit jantung kalo sudah pembengkak'an  itu harus di operasi dok ?",2026-01-06T14:46:48Z
@jihannurfitriana5165,"Mamah aku pernah guldar 500 dok, alhamdulillah sekarang 160an, kalo rendah bgt juga lemes.",2026-01-06T14:45:19Z
@ashalihahs21fe,Seruu bgtt sih belajar banyaak dari dokter Giaaaa 🤝,2026-01-06T14:42:23Z
@rizqinam__,Cuma di podcastnya bang radit pasti excited nonton obrolan bareng dokter😅,2026-01-06T14:41:48Z
@taufiqnurihsan4703,.,2026-01-06T14:39:41Z
@nntaloav,Pantesan ada orang yg ga gemuk2 bgt tapi diabetes,2026-01-06T14:38:51Z
@shahianasyasaila1602,Yeyyyy dokter lagi,2026-01-06T14:37:40Z
@AlifahZahrohNurLaila,iiii ayoo undang lagi dr Gia seruuuu 11 12 sm dr Tirta 😅,2026-01-06T14:33:28Z
@kucingadipurnama5735,"Mamah ku cerita dulu tahun 1998 aku pernah nelen uang koin 1000 100 sama 50 komodo, tapi yang 1000 kelapa sawit alhamdulilah keluar tapi uang 100 sama 50 nya ketelen tapi Alhamdulillah berhasil keluar lewat feses 😅haha
Mamah aku khawatir banget sampai nyalahin sodara yang jaga aku dulu",2026-01-06T14:31:03Z
@hoshireiko10,"serba copot ya cerita nya si dokter ini, kmrn rahim copot, jempol copot 😂",2026-01-06T14:30:15Z
@hoshireiko10,"suka bgt sm dokter ini, ngomong dan jelasinnya jelas kyk bahasa bayi mana kocak lg jokes² nya 😂",2026-01-06T14:28:56Z
@latifamaltira5435,undang dr gia lagi plss🥹,2026-01-06T14:28:49Z
@maytsalism3991,Cerita yg anak muda lahiran itu ada difilmnya dokter,2026-01-06T14:23:05Z
@baerona7942,Cina gk perlu sunat😂😂,2026-01-06T14:17:26Z
@FiviAliyamecca,"Bisa""nya gua nonton ini sambil minum kopi😭",2026-01-06T14:16:34Z
@mutiaraameliasari5189,"Love banget sama dokter ini, selain ceria dan tampan ceritanya seru banget, ga bosenin, soft spoken",2026-01-06T13:55:08Z
@wintermiracle4997,"Sumpah ya, papaku kena diabetes dan suka naik gula darahnya. Tapiii setiap diingetin suruh jaga makan sama cek malah ngajak berantem mulu😭 lama2 sakit hati juga denger omongannya. Ada yg sama ga guys? Pusing aku harus gimana lagi😭",2026-01-06T13:54:54Z
@arayy275,"Nonton nya sambil makan Chiki micin😭😭 mana sisa 4 butir, habisin aja dulu lah",2026-01-06T13:52:57Z
@oomqomariyah1996,"Ikutan mewek pas dr gia bilang ""kupu-kupu itu ga bisa ngeliat keindahan dirinya, tp orang lain bisa"" 🥲",2026-01-06T13:49:40Z
@rarisaoctaviant1901,"Ini adalah dokter idaman semua nakes sih, terutama perawat, karena ngejelasinnya detail dan mudah dimengerti, ngejelasin pakai perumpamaan. Salut bgt sama dokter gia🙏🏻",2026-01-06T13:46:39Z
@septiawatititie5505,Dr. Gia seru bgt..membahasan hal rumit dibawakan dengan sederhana dan menyenangkan,2026-01-06T13:46:19Z
@Shzaa-s5y,Setelah di bikin ketawa sm Dr. Gia.. di ending di bikin haru😭😭kapan²  podcast lg ya sm bang radit.. saya ketagihan sm cerita dan pembawaan dokter😊😊,2026-01-06T13:43:19Z
@bielcerelia,"suka bgt sm dokter gia, pls podcast trs",2026-01-06T13:39:51Z
@apriliaazrrrrrr,suka bgt pembahasan pake bahasa bayi. mudah dipahami,2026-01-06T13:31:44Z
@gita8384,54:36 makasih banyak dok 🥺🤍,2026-01-06T13:28:06Z
@AbiyaPackaging,lagi bang bikin season 3,2026-01-06T13:22:46Z
@endangsriwinarni152,"Dr, Gia orang Sunda vs dr, Tirta orang Jawa Timur...
Beda kultur, beda budaya, sama2 punya kelebihan...
Dua2nya pinter.. dua2nya keren !!!
Tetap semangat ya dok..
Antara serius dan kocak ya dok...",2026-01-06T13:21:42Z
@SitiNoorhayati9,Gula 😢,2026-01-06T13:20:00Z
@octvani123,Saya dulu pernah mencoba berhenti merokok selamaa7 bln tapi tubuh ku kayak memberontak bg jadi kebablasan gk jadi berhenti merokok,2026-01-06T13:16:07Z
@annurraushania,Seriang dan se cheerfull iniii dokter IGD,2026-01-06T13:14:50Z
@idanurrahayu903,"Masyaallah, sehat dan sukses terud dokter, bang radit dan keluarga....",2026-01-06T12:52:18Z
@salsacaca085,Di akhir ko aku nangis yaa😢 terima kasih dokter Gia dan Bang Radit,2026-01-06T12:48:03Z
@EmkaMagelang,Ekspresi Radit kali ini ky orang males²an..,2026-01-06T12:42:40Z
@ayufebrina655,Ngeliat dr’Gia berasa lagi nonton dr’romantic Master Kim di dunia nyata 😅 krna case2nya mind blowing 😮‍💨,2026-01-06T12:28:52Z
@alifax_,"enak banget dengerin dokter Gia klo lagi cerita, undang lagi bang kapan2",2026-01-06T12:28:21Z
@panggilajaay,andai semua dokter seperti dokter gia yg sat set mungkin bapaku sekarang masih ada🥺,2026-01-06T12:22:41Z
@wldn_prayuda,Dikira org lahiran semua di dokter apa.,2026-01-06T12:18:11Z
@umiarifah2312,Bang radit undang doktr gia sama doktr tirta duet seruuu bgt tuuh,2026-01-06T12:13:18Z
@Luvgyuyu_.,"Awalan serius, pertengahan lucu tapi agak ngeri-ngeri gimana, endingnya sad😢

Makasih udah undang dokter Gia lagi bang Radit❤",2026-01-06T12:10:21Z
@alfinawadinia6526,Satuin dokter tirta sama dokter gia banggg plisssss,2026-01-06T12:03:14Z
@DewiWirinata,sumpah demi apa dulu anak ku 1 tahun anting nya 1 ilang aku pikir emng ilang tak cari kemana mana nga ada truss pas dia puupp ada di pampress nyaa campur sama puup nyaa 🥲,2026-01-06T11:59:43Z
@latifatulmutmainnah1970,Curiga Dowewak itu dokter Gia😂🤣,2026-01-06T11:51:25Z
@dandifauzi6594,Bikin part 3 please 🥺,2026-01-06T11:46:27Z
@rezasanjaya4468,Seru Bang ceritanya sangat menginspirasi dan memberi semangat :),2026-01-06T11:37:42Z
@andranabilah,plis undang lagiiii,2026-01-06T11:36:20Z
@wntzen,"seru bangettt, sering sering undang beliau lagi bang. pleaseee",2026-01-06T11:33:37Z
@yartikaulandari7871,"Sumpah gak i skip sama sekali, pesan2nya sampai langsung ke otak, lucu juga, ayo guys mulai sekarang jaga kesehatan kita 😢 jaga pola makan dan pola hidup ❤",2026-01-06T11:26:29Z
@rdhran,Soft spoken banget dokk,2026-01-06T11:15:14Z
@astrinurhalimah7205,Dr Gia dokter luar biasa kl bs konsul sama beliau pasti bs slow,2026-01-06T11:14:07Z
@KICKSTORY-k9k,enak bnget emang kalo ngobrol sama orang tipe kaya dokter,2026-01-06T11:13:17Z
@ayuwiwin5014,BANG UNDANG LAGI DOKTER GIA YAAAAA PLEASE,2026-01-06T10:57:26Z
@punyakuuu-n8y,"Dokter gia makasih udah jelasin pake bahasa yang semudah itu, paham bgt udahh😭😭☝🏻☝🏻☝🏻",2026-01-06T10:57:25Z
@AzmiFajar-k3q,Bang saya izin nge clip video abang boleh tidak,2026-01-06T10:57:19Z
@arlandmikhael,jujur sedih sih endingnya:'),2026-01-06T10:56:21Z
@OllieHowlie,PETISI UNTUK ADAIN PART PART SELANJUTNYA DENGAN DR. GIAAAAAAA,2026-01-06T10:55:31Z
@niningaja2564,banyakin podcast tentang kesehatan dong bang radit yg seru seru kaya gini,2026-01-06T10:52:24Z
@MiraMinclenk,dokter Gia cerita aku bayangin nya mirip d drakor ❤,2026-01-06T10:40:12Z
@BayuDanis,Hati2 temen2 untuk gula apalagi penyakit diabetes.. ibu saya meninggal gara2 sakit ini tetep jaga kesehatan ya semua,2026-01-06T10:36:02Z
@hanna_sii529,Sekalian konsultasi ya bang radit heheh,2026-01-06T10:35:27Z
@gatausiapa1933,Pak dokter cocok jadi guru biologi saya😁😁,2026-01-06T10:30:51Z
@NoName-yu8xn,51:20 🥺,2026-01-06T10:30:47Z
@v3ria9,"Penjelasannya lugas dan mudah dimengerti, good job dr gia..Tolong undang @dr_brewok juga dunk ka radit,,",2026-01-06T10:27:45Z
@KelvinVanyachannel,Jadi dosen enak banget pasti dr.Gia,2026-01-06T10:27:14Z
@IndahHaerunisa-e4l,dokter Ghia seru banget,2026-01-06T10:24:33Z
@paijem3369,bangkee pecah lalat ijo parkir mundur dr. gia🤣😭😭😭,2026-01-06T10:16:20Z
@CattrynaKumoruVtuber,"biasanya aku hah hoh klo ada yg bahas soal ilmu gini, tpi ko ini paham wkwk😭",2026-01-06T10:12:13Z
@mundrisetiawan784,Doktet gia mashaalloh vibesnya positif bgt.,2026-01-06T10:09:10Z
@nurlaili4907,Suka banget dengan dokter Gia dengan cara ngejelasin nya keren dok,2026-01-06T10:06:24Z
@lelyfitriana545,"Baru paham, ternyata garam gula bisa nyebabin tekanan darah. Pantes selama tm 3 ini protein urine ku plus karena byk makan mengandung garam, dr obgyn sll bilang kalo tekanan darah normal brrti masih aman masih bisa di cegah. Awalnya krg tenang tp penjelasan dr gia membuatku yakin bahwa selg kita bisa ngontrol garam gula tekanan darah g akan naik bgtupun urine akan kembali normal jika byk minum dan kurangi gula❤",2026-01-06T10:06:22Z
@SkibididapdapYesyes,baru aja makan nasi 3 centong😨,2026-01-06T10:02:59Z
@sitirobiatul8911,"ya ampun dok, baru kali ini saya nonton podcast edukasi kesehatan nangis terharu huhu thank you dok sudah bercerita dengan sangat baik dan menyenangkan❤",2026-01-06T09:54:59Z
@WulandariTahir,Berarti suamikuu hebat pas pacaran janji kalo udh nikah berhenti  ngerokok eh  ditepatin skrg udh gk ngerokok,2026-01-06T09:54:47Z
@echan.6v,suka bgtt klo docter gia yg jelasinn❤,2026-01-06T09:46:40Z
@LalaPo-z6q,Suka nih podcast yang menghibur + bikin pinter gini,2026-01-06T09:45:15Z
@riaayska317,3:30 pas aku lg makan mie weee 🤣🤣 sambil dengerin cacing sambil liatin mie yg ku makan. Wkwwk,2026-01-06T09:41:56Z
@Deyun313,49:57 ngena bgt😢,2026-01-06T09:40:21Z
@MutiaraRazika,"Dr giaa bener” bisa menjelaskan hal rumit sekalipun jd mudah dimengertii, dan pembawaannya sangaat cheerful & positif
Sehat” dokterr😍🤲🏻",2026-01-06T09:38:40Z
@maee8598,ga cocok buat temen makan,2026-01-06T09:38:05Z
@NazwaKirana-c6j,"aku umur 14 udh kena gagal ginjal and akhir nya cuci darah, berati gula ku berlebihan donggg😅😅",2026-01-06T09:30:15Z
@GongongDor,"Sering-sering podcast begini, bermanfaat bgtttt",2026-01-06T09:24:28Z
@Foddieprtty,Sambil makan enak nih wkkwkwkw,2026-01-06T09:22:26Z
@RaviRismandana,Dr gia kalo ngajar pelajaran biologi pasti murid nya pada anteng dengerin,2026-01-06T09:09:45Z
@momace07,"25:51 aku dulu merokok selama kurang lebih 10 thn. Udh 6 tahun terakhir berhenti karna emg pgn hidup sehat. Tanpa permen tanpa pengganti apapun. Enak bgt loh hidup sehat itu ternyata, seger bgt udara bersih itu.",2026-01-06T09:05:07Z
@dianfitrin,Seneng bgt sama pembawaannya dr gia 😂,2026-01-06T09:01:10Z
@MariaMariapaulina,"""Uid"" pecah sih🤣🤣🤣😭😭",2026-01-06T09:00:31Z
@fakkybuddy7379,"Set up, Puchline,, fix open mic Dok.",2026-01-06T08:37:55Z
@OkeJek_,"Bikinin Podcast Program Edukasi Kesehatan bang Radit, untuk dr. Gia enak bgt pembawaannya buat edukasi dan story tellingnya 😅😊",2026-01-06T08:33:13Z
@senyalif1870,"Kalimat terakhir menyentuh banget ""hidup itu sangat berharga""😢",2026-01-06T08:30:52Z
@ardilaputri1517,"Ibuku kena diabetes 2 tahun ini. dari cuma kontrol rutin bulanan, ke insulin, ke bolak-balik rawat inap, luka di kaki sampai bolong dan akhirnya ibuku nyerah. Ibuku meninggal 23 November 2025 kmrn. Pelajaran sgt berharga untuk kami untuk g menyepelekan diabetes",2026-01-06T08:30:32Z
@noegipia,Cerita yg akhir2 bikin nangis 😭,2026-01-06T08:29:52Z
@zhuanrenatha3628,sukakkkk bgt cerita dr. gia!!,2026-01-06T08:29:30Z
@ChanayMenjawab,"seruuu, kok jdi suka bljr dokter² gini",2026-01-06T08:29:18Z
@queensusan9610,"dr kmren part 1 sama ini qu kek bener2 mantengin dokter gia ngmng ngejelasin nya qu yg awan aja agak mudeng ini,. 
enak soft spoken,",2026-01-06T08:27:28Z
@ernatrias,"Sebelum diundang ke podcast bang Radit, aku sudah ngikutin dr. Gia karena storytellingnya keren banget!🤩👍",2026-01-06T08:22:55Z
@NataliaNat-m7y,"Undang dr. Gia lagi, Bang Radit. One in million doctors! ",2026-01-06T08:22:10Z
@miaputri1370,Dokter Gia vibes nya adem dan menyenangkan,2026-01-06T08:18:11Z
@noorachan8272,"Ini pasien yg lehernya nganga anak sastra keknya ya, udh deket kematian masih berprosa dia 😭",2026-01-06T08:16:59Z
@bill_0530,SHOCK BANGET SETIAP DENGERIN DR GIA CERITA😭🤌🏻,2026-01-06T08:13:28Z
@jiron122,41.46 😮😮😢😢,2026-01-06T08:09:25Z
@anisnissan9909,"Lucu dokternya, humoris, gk bosen dengerin cerita2nya",2026-01-06T08:06:15Z
@D-Demonic,"Gw ketawa anjir pas bagian ""Bg tolongin bg""",2026-01-06T08:06:14Z
@masyidafatatin3462,"Emng bener sih seru kerja di RS tuh, nemu berbagai cerita unik 😅",2026-01-06T08:03:09Z
@sidikhandoko6560,Terima kasih bang radit dan dokter gia sangat bermanfaat apa yang dibahas ditunggu podcast selanjutnya,2026-01-06T07:59:40Z
@earlyambrwgti,"Sumpah, yang di jelasin ttg gula darah dst nya itu baru terjadi seminggu lalu sm kakek aku yg skrg sdh alm. Dan baru paham setelah di jelasin gini.",2026-01-06T07:56:17Z
@hallokimdotcom,Waduhhhh jadi pengen olahraga langsung ini.,2026-01-06T07:54:23Z
@gitadine,He talks like he is working on a punchline 100% of the time 😂,2026-01-06T07:53:46Z
@mochammadmiftachulchoiri6405,"terima kasih dok, ending nya bikin mewek dan sadar betapa pentingnya hidup ini dan betapa bahagianya klo berjauhan dengan rumah sakit dan IGD",2026-01-06T07:49:14Z
@Kristinaaay,"lihat podcast ini keinget ibukku, terkena stroke hampir 2 tahun,drop terus meninggal belum lama ini🙃🙃💔",2026-01-06T07:48:48Z
@lereed,sial. mana aku kemarin makan rambut nenek banyak banget. udah ah 😭😭😭 minum air putih aja gua,2026-01-06T07:46:56Z
@indahchannel_0303,54:53 😢😢,2026-01-06T07:35:48Z
@Allfaaa09,49:57 GONG nya😭,2026-01-06T07:32:23Z
@simplemusic3311,bisa saya denger dokter ini seharian wkwk,2026-01-06T07:29:42Z
@sidneystudio_,"pls banget bikin ""malam minggu dokter igd""",2026-01-06T07:27:59Z
@Sheeptngsh,Apaa apaan nih durasinya bentar bgt😭,2026-01-06T07:27:26Z
@dezylestary3086,"Dari cerita dokter Gia, bahwa susah mengubah believe sistem seseorang, tapi klo kita ingin mengubah masuk aja ke dalam hayalan mereka haha dan tanpa sadar mereka akan berubah",2026-01-06T07:19:53Z
@xaniadesyunico9191,"selalu suka sama dr. gia, dari cara ceritanya excited bgt plis bikin podcast sendiri biar tiap hari tayang",2026-01-06T07:17:24Z
@atinsupriatin4980,belajar seru...,2026-01-06T07:17:21Z
@ririnarinda1539,dr. Favorit penyampaiannya msuk banget dotak & dihati lucu jugaaaa😂 kocakk.. sehat selaluu yac dok.🤲🏻💐,2026-01-06T07:13:09Z
@xsvsjj4567,seruuu,2026-01-06T07:12:28Z
@miamayo-us6df,aku suka bgtt sm penjelasan dr. Gia kayak lagi ngejelasin sama anak kecil karena se detail ituu smpe smpe ngebayangin gimana bentukannya 😆 seru bangett pokoknya,2026-01-06T07:05:00Z
@michelletan35,Ak pas lihat thumbnail “ketakutan apa lagi yang akan aku dapatkan dari dokter ini” 😩,2026-01-06T06:59:34Z
@tulipobsessed199,puas bgttttttt,2026-01-06T06:54:52Z
@johankennedy2759,"Gula adalah sumber penyakit, ayok kurangi gula 😢",2026-01-06T06:52:34Z
@meidiana3651,Sedih ih pas akhir2,2026-01-06T06:48:30Z
@Wiskulandtrip,LAGI MIKIRIN DUIT 1000 NYA UDAH SAMPE MANA😅,2026-01-06T06:43:55Z
@arsenlucu1,terimakasih sudah mengingatkan kami betapa berharganya hidup ini ya dok,2026-01-06T06:43:44Z
@psychedelic_duck,"cmiiw tapi kayaknya rame yg dimaksud bang radit beda sama rame yg dijelasin dokter gia deh?😅
ramenya kan karena ada rekan sejawat yg bilang cerita dokter gia itu bohong atau ga mungkin, makanya jadi rame sampe ke twitter, tiktok, threads😅",2026-01-06T06:40:57Z
@Hamkun_anta,Podcast berdaging ❤,2026-01-06T06:40:27Z
@faiznurarsyadi9208,"langsung kasih awardnya, podcast terbaik 2026 ini🏆",2026-01-06T06:37:17Z
@muhammadmiftahurifqi4654,next dr tirta vs dr gia,2026-01-06T06:37:14Z
@dinadesika2093,THE LAST STORY BIKIN NANGIS 😭😭😭😭😭😭😭😭😭😭😭,2026-01-06T06:31:58Z
@dediapolo6423,"Kadang praktekum dan nalar yg cerdas bisa melakukan tindakan medis tanpa panduan   medis yg di pelajari,lebih simpel tanpa resiko tanpa merusak /melukai tubuh,ide timbul dari niat yg mulia dari seorang perawat ❤🙏",2026-01-06T06:27:15Z
@fifihaya4960,"keren bangat dok😍. sehat selalu, semoga siapapun yg berobat ketemu dokter yg sebaik dokter gia aamiin.",2026-01-06T06:27:00Z
@GiaFebriyanti,"haa namanya Gia?? samaa namanya, nama saya jugaa gia febriyanti",2026-01-06T06:25:52Z
@tulipobsessed199,SUMPAHHHH SERU BANGETTTTT,2026-01-06T06:23:46Z
@YuliaAziza-ul5ji,Dari tasik deketan dong .. saya dari Ciamis,2026-01-06T06:18:09Z
@Pelayanan_Aurum_EvaHandayani,bisa banget ini kalo mau perawatan luka gangren dengan diabetes ke kami,2026-01-06T06:17:18Z
@apriliapratiwi4922,jempolll... jempol... -_-,2026-01-06T06:17:00Z
@bungamelati227,"Mirip dr umum di rs tempat aku kerja namanya dr angga, sehat selalu dr gia❤",2026-01-06T06:12:51Z
@diannfitri-h9i,Pgn bgt dr. Djaja diundang lagi kesini juga ..,2026-01-06T06:11:59Z
@frichzalswork,"part yang buat ku sedih 44:20, aku sampai nangis, sumpah...",2026-01-06T06:11:52Z
@novienithaa.z3980,undang dokter hewan bang,2026-01-06T06:06:39Z
@nuranivicky259,Dikasih bawang di akhir video dan cerita.... Makasih bang Radit Ama dr gia,2026-01-06T05:52:43Z
@serunir7094,Satuin sama dokter tirta dongggg,2026-01-06T05:50:07Z
@alikanaara,"dulu anknw masukin batu ke hidung trs nyangkut, perawat ugd ngeluarinnya pake klip kertas yg untuk penjepit kertas d bentuk msukin ke hidungnya trs kluar, w yg liat cuma bengong, et gampang bgt, cuma bbrpa detik doang udh kluar,,",2026-01-06T05:46:08Z
@itsnvstream,sekali seumur hidup dengerin nafas bang radit lewat mic,2026-01-06T05:45:18Z
@OlyaWijayanti,"Waktu sekolah aku benci nih pelajaran bahas organ tubuh, tapi semenjak ada nih dokter jadi tertarik buat paham organ tubuh. Ternyata bukan pelajaran nya yg membosankan melainkan siapa yg menyampaikan",2026-01-06T05:44:00Z
@ariqjunda24434,"""Uittttt"" terngiang-ngiang 😂",2026-01-06T05:37:32Z
@goretiwiwin8547,"Ke ingat alm mamaku dulu kena diabet. Pas masuk RS ternyata diabet sampai 500, trus rutin di suntik. Memang mahal, tapi dalam waktu 6 bulan rutin banget. Trus pas k 5 bulan obat habis, beliau posisi di kampung. Ujung ujung di bawa k RS lagi. Selama 6 bulan itu kalau luka amat aja. Luka dikit sembuh. Pas dia pulang dari RS, pulkam lagi disitulah ada kaki luka. 1 bulan kemudian kaki nya yg tadi cuma luka secuill malah melebar kemana mana. Dan dalam 1 bulan itulah merasakan sakit yg benar benar ga bisa ngapa ngapa. Akhirnya beliau meninggal.",2026-01-06T05:37:23Z
@AndiNurzahry,dokter gia enjoy banget ngomong nya,2026-01-06T05:36:33Z
@ilmiarahmania2453,Jadi ngefans dehh sm dokter Giaaa🫶🏻,2026-01-06T05:36:32Z
@mysunshine73,😭😭😭😭 yg gelang ungu,2026-01-06T05:27:14Z
@yayoradin7518,Ga bisa skip kl ada dokter Gia😂😂😂😂😂,2026-01-06T05:21:12Z
@ikoo0oo,54:00 nangiss😭😭,2026-01-06T05:12:56Z
@zatoraia000,abis nonton Dr.Tirta... terus nonton dr.Gia tuuu.. gimana ya.. ademmm,2026-01-06T05:12:50Z
@dia98-uu,Lalat ijo parkir mundur😭,2026-01-06T05:11:18Z
@sabrinalaeqalubena465,banyak banget pelajaran dari nonton podcast ini,2026-01-06T05:01:30Z
@MohammadRanggaYuditama,terimakasih bang radit berkat podccast teman saya seharian nonton podcast,2026-01-06T04:49:47Z
@FitriHandayani-g2i,"Sering liat dr gia di rs prikasih karena emg tugas disana, dr gia itu murah senyum ga judes cengarcengir terus, semua pegawai rs yg lewat disapanya sambil nyengir, pembawaannya santai Dan humble, terkadang Ada dr yg ga mau senyum Dan ga terlalu humble .",2026-01-06T04:44:05Z
@withlovebuadel,Masyaallah dokter gia. Semoga anakku bisa seperti dokter gia..🫶🏻,2026-01-06T04:33:40Z
@ninanisya,"Enak bgt penjelasan dr gia, sukses trs dok😊",2026-01-06T04:32:01Z
@qoriatul12,"seneng banget tiap denger Dr. Gia cerita, telling storynya best banget siih. Hal rumit dan susah bisa jadi gampang banget dipahami sama orang awam. jadi betah banget denger semua ceritanya, jadi dapet edukasinya juga dapet serunyaa!!",2026-01-06T04:31:54Z
@GithaKonser,Bang Radit & dr.Gia Gua nangis dasaat dr.Gia ceritain tentang anak yg kehilangan arah disaat ibu nya sudah meninggal. karna gua ngerasa dri gua kecil gua kehilngan sosok ayah yg kerja jauh + nyatanya gua umur 14th mreka malah cerai dan yup gua menulis scrip hidup gua sendiri berjuang gamau nambah beban ekonomi mm gua pulang sekolah kerja jaga toko baju dari jam 4 sore sampai jam 10 mlm dan itu berlangsung 3th sampai lulus SMA alhamdulillah slalu ada mm dan kluarga mm yg kasih support padahal hati anak kecil itu dlu hancur cuman pasang topeng doang didepan orang2. trimakasih atas cerita-cerita nya yaa dr.Gia dan bang radit. Sukses slalu~,2026-01-06T04:29:28Z
@AnggyFitriana,"Ini isi buku garda detak dan aku udh baca, yg ditulis dan diceritakan sama. Sehat selalu, dok",2026-01-06T04:23:28Z
@naam2157,"Jadi btw, kalo diabet itu pasti orangnya gemuk ya?
orang kurus itu ngga mungkin gula darahnya tinggi?",2026-01-06T04:21:27Z
@febitriadindapermatasari9080,"Dr Gia ijin bertanya..
1. Apakah berat badan yg berlebih(gemuk) bisa mempengaruhi telatnya datang bulan? 
2. Apa penyebab telatnya datang bulan ? 

Terimakasih semoga dijawab pertanyaan saya 🙏",2026-01-06T04:17:53Z
@muhammadsuryahakim2559,"Lagi makan cincau dengan manis yang giung, akhir nya stop pas bahas gula darah, syittt",2026-01-06T04:15:27Z
@sitihanifah5494,"seru bgt dokternyaa, coba jadi dr obgyn atau dr anak. cocok bgt, ngejelasinya seruu jd ga tegang.",2026-01-06T04:13:14Z
@aryaastama8623,Ak baru nonton dengerin ngambil cacing kaya ambil spaghetti ak ga kuaddd😂 ak ga jadi nonton 😢😢,2026-01-06T04:11:38Z
@karinapermata2238,"seru bgt sumpah, ayo bang sering2 undang Dr. Gia!!🥹🥹",2026-01-06T04:11:31Z
@veshiaezara1487,"Jujur nakes yg modelan dr. Gia ini langka guys.... soalnya ya ""males"" nyeritain hal2 medis, dan biasanya loh ya...ngk mau bagi ilmu dgn cara yg mudah dipahami😂",2026-01-06T04:08:01Z
@apriliacdwi2516,"durasi nya kurang lamaa, dr giaa harus diundang lagii
gapernah bosen dengerin podcast sama dr gia😍♥️",2026-01-06T04:04:58Z
