author,comment,published_at
@windawahyukensia8575,Sumpah dengerin dokternya kaya berfikir bisa ga ya semua dokter tuh begini. Kayanya enak banget jelasinnya. Sampe mudah dimengerti,2026-02-20T00:52:35Z
@Putucacacuax,❤,2026-02-19T05:51:59Z
@rishantyaquarius3742,"Ternyata yg q ikuti slma ini di IG liat cadafer adalah dokter gia ini. Spt ceritanya di IG, ternyata org nya jg seru ❤❤❤",2026-02-19T05:27:56Z
@nurullow,"Aku liat tiktok buru buru kesini dengerin dr gia cerita,asik seru  banget",2026-02-19T04:53:24Z
@tinarostiani1453,Aku dlu kena tb minum obat nya sampe 9bulan di rawat d rs bya sampe 2bulan 4 hari,2026-02-19T03:19:24Z
@azizalting3942,gak kuat gk lanjut. baru di 10 menit badan udah lemas dengar obrolan ini😫,2026-02-19T03:08:49Z
@DevilianaP-ti3gh,"""Seruu ya dok""😂",2026-02-19T00:10:13Z
@OliviaYadha,Makasi dokter dengan menonton beberapa podcast nya dokter sama bang radit jadi banyak tau tentang anatomi tubuh... Makasi ya... Dok... Penjelasannya juga asyik banget....,2026-02-18T12:02:29Z
@windafatmawati6150,Plis judul filmnya bs afa yg infokan,2026-02-18T08:09:10Z
@missehayukito,mau pengsan nontonnya dok,2026-02-18T07:39:24Z
@umiyuli9447,"Klo dokter nya pa gia, perawat yg tadinya judes,pastii lsg pada baik",2026-02-18T01:41:44Z
@quinneiraadivarubina1021,dokter kaya gini seru nihh ga bikin tegang. Dan dia keliatan banget cinta sm pekerjaannya,2026-02-17T14:50:46Z
@aristyristy2499,"Aku pernah DBD, masuk ICU 3 hari, ruangan biasa 6 hari, gila sih, 9 hari gara2 DBD, emakku hampir tiap hari nangis mulu, takut aku lewat",2026-02-17T14:49:56Z
@liylaarrohmah6332,Film yang diceritakan diawal itu apa ya?,2026-02-17T10:01:20Z
@AnahPertiwi-o8o,Pak dokter mirip suaminya Ardina rasty,2026-02-16T06:08:39Z
@yosrinefauzia,kekmana ya Dr. Gia dan Dr. Tirta diundang bareng bang Radit :D,2026-02-15T14:11:10Z
@DedeNovitasari-b7b,minta link series yg ditonton bang raditya dika dong :),2026-02-15T09:33:40Z
@vinadamayanti1180,"Masyaallah bgt, meskipun agak ngilu"" dengerin podcast ini terimakasih bang Radit dan dokter Gia untuk ilmunya😊❤",2026-02-15T03:28:14Z
@orgbiassaa_321,"NEWBIE FANS DR.GIA HERE... PLEASE BANGET BANG RADIT DR.GIA HARUS RUTIN PODCAST DISINI. BTW AKU UDH NONTON PART 1,2,3. SERU SEMUAAAA",2026-02-15T02:57:53Z
@staysomnia7912,"Aku pernah baca cerita dr. Gia yang soal rahim itu, perasaan kayak biasa aja gak terlalu ngeri. Pas denger disini kok jadi mual 😭.",2026-02-14T06:46:45Z
@sintatata1090,Dok seru bgt tapi aku GK sanggup diposisi dokter hhee bagi dokter seru bagiku serem hhe,2026-02-14T03:49:30Z
@Morygaska,"Dari tiktok langsung ke sini saking penasaranya, seru bgt pembahasanya🙌🏻🙌🏻🙌🏻🙌🏻",2026-02-14T00:39:56Z
@Morygaska,"Dari tiktok langsung ke sini saking penasaranya, seru bgt pembahasanya🙌🏻🙌🏻🙌🏻🙌🏻",2026-02-14T00:39:53Z
@PutriAyu-s5b,Suka banget lihat dokternya kalau lagi bicara,2026-02-13T14:39:38Z
@cholilahmekarsari252,"The podcast is very interesting, because Raditya Dika can balance the conversation and be a good listener to discuss real cases in emergency room. In the podcast, Dr. Gia can explain emergency room situation with the best explanation, and Raditya Dika gave good responses about that statement. I thought emergency rooms only handle serious injuries that don't require surgery on the spot, but it was mind blowing to hear the explanation from Dr. Gia. So, it can be a recommended podcast to know what happened in the emergency room with understandable explanations✨️",2026-02-13T14:37:09Z
@Super-Bintang,Luarbiasa,2026-02-13T12:59:21Z
@kenziodankinan8922,Ada yang tau ga nama drama atau film yang mereka bicarakan? Pengen nonton deh.. *terimakasih,2026-02-13T12:56:31Z
@DieSarahvaty,Kurang-kurangin bang minum jus instan kyk gitu. Itu kebanyakan gula. Dokternya aja cm blg oke dan 'mungkin aman' 😅,2026-02-13T08:35:47Z
@taehyung8844,Lemes banget dengerinnya 7:15,2026-02-13T05:38:37Z
@mikupipi9183,27:13 nitip menit,2026-02-13T00:16:04Z
@SeptianNurAkbar-hz8hg,6:05 ekspresi gw sama kaya bg radit,2026-02-12T14:00:49Z
@helmangarage1219,Ginini kalo orang mencintai pekerjaanya .....serunya uda 🎉beda sama orang biasa.lemes oy...😃😃,2026-02-12T12:06:42Z
@safinatunnaja365,Nonton apasih yg awal 0:37  penasaran deh,2026-02-12T09:50:47Z
@jodaniosantos1139,"Aku nonton ini badan rasanya lemes seperti mau pingsan, karna ngebayangin apa yg diceritqkan dan badan merinding😂",2026-02-12T07:15:08Z
@tatakayonna2402,Dokter yang Cintaaaaa banget sama pekerjaanya..semoga Alloh jaga..dan sll sehat,2026-02-12T05:16:39Z
@affanmujaddidi,Ngerii,2026-02-12T04:13:44Z
@aprilia_MD25,"Dr aku selalu suka denger ceritanya, seru mau ketawa tp serem juga wkwkw",2026-02-11T07:14:45Z
@ikaprasetyawati4911,"Pernah ada pengalaman tugas di ugd emang serandom itu kasusnya , liat beliau jelasin berasa ikut kuliah lagi, nostalgia lagi",2026-02-11T06:53:05Z
@zakaiz7952,dokter pertama yang aku suka,2026-02-11T02:11:57Z
@ImasRohimah-v8z,"Lemes ke buku2 kaki lagi ini mah bukan lutut lagi😭😭😭 sehat sehat dok. Suka banget sama dokter nya ramah, keliatan banget cinta sama profesi nya sebagai dokter❤❤❤",2026-02-10T12:46:00Z
@akbarmaulana609,seru dia bilang seruuu,2026-02-10T05:57:41Z
@alvihusnaa,MERINDINGGG😭😭😭,2026-02-10T03:26:19Z
@aintuanany8900,Thank u ilmu dan pengalamannya dok,2026-02-09T22:56:24Z
@widaofficial979,Ngiluuu dengernya😭,2026-02-09T18:34:14Z
@DewiLestari-t3l,"Coba dong produser film gaet dokter gia ma dokter tirta main film residen dan uGd pasti seru y,,, film yg alami aja karakter asli masing masing",2026-02-09T13:46:56Z
@AlfiClassMath,6:04 ngeri😭,2026-02-09T11:21:15Z
@seliseliseel,Paling seneng emg denger dokter gia.. Btw dr gia yg di RS priksih pondok labu kan yaaa.. Pernah liat soalnya huhu,2026-02-09T06:50:58Z
@sitimubarokah3620,dr yg lucu,2026-02-09T05:47:15Z
@ifahsayang1140,"gen z jangan takut ya, tenangkan hati kalian😂😂😂",2026-02-08T16:50:26Z
@reginaclaudiaart,pak dokter storytellingnya keren banget,2026-02-08T15:16:11Z
@Ayangnyaayel,😭😭😭 i thought i was freak enough loving gore and thriller movies and this doctor telling awfull stories on or with a smile on his face 😂😂,2026-02-08T12:41:54Z
@Shinigamiシニガミ,Sepertinya sebuah kesalahan saya menonton ini sambil makan,2026-02-08T10:51:58Z
@Siti-i3g8h,Bida napas lg pas liat dr Gia mempraktekkan salaman di ibu blg makasih dok❤ salam hormst buat pata pemilik rahim❤ ih knp ada air mata  dmenggeneng ini🙂tq  dokter ❤❤❤❤,2026-02-08T10:33:23Z
@Gamingnub00,aku yang nonton aja ngilu,2026-02-08T08:31:01Z
@tasyaperta,GUE BARU BERANI NONTON RAHIM COPOT SKRG ANJIR SANGKING TAKUT NYA😭😭😭😭😭😭😭😭,2026-02-08T08:10:16Z
@anaismya2142,Daging banget. Seharian dengerin kuliah pak dokter keknya ga ada bosenya deh,2026-02-08T06:45:04Z
@sucykid2208,"Kita yg nonton ngerti
Dr gia malah keseruan 😂🎉🎉",2026-02-08T05:59:31Z
@HestiNofitasari,"Q pngen liat sampe selesai podcast nya tapi ngeri denger ceritanya, sampe ngilu dengernya😊",2026-02-08T04:21:42Z
@AswinXiaomi,njelasinnya jls sekali dengan bhs sederhana,2026-02-08T02:10:31Z
